id,bedrooms,bathrooms,Area,floors,condition,year built,location,Garage,price
1133000671,3,1,960,1,3,1952,premium,No,"3,15,000"
4232902595,3,1.5,2140,2,3,1925,low,No,"9,40,000"
2599001200,5,2.25,2660,1.5,5,1961,premium,No,"3,05,000"
3342103156,3,3.25,2770,2,3,2006,premium,No,"4,61,000"
1332700270,2,2.25,1610,2,4,1979,premium,Yes,"2,15,000"
3869900162,2,1.75,1030,2,3,2006,low,No,"3,35,000"
2791500270,4,2.5,1980,2,3,1988,medium,No,"2,43,500"
5036300431,5,2.75,3520,2,4,2001,medium,No,"10,99,880"
4168000060,3,1,1200,1,3,1962,medium,No,"1,53,000"
6021501535,3,1.5,1580,1,3,1939,low,No,"4,30,000"
6021501535,3,1.5,1580,1,3,1939,premium,Yes,"7,00,000"
1483300570,4,2.5,3300,1,3,1946,low,Yes,"9,05,000"
3422049190,3,1.75,1960,1,3,1967,low,Yes,"2,47,500"
1099611230,4,1.5,1160,1,4,1975,low,Yes,"1,99,000"
722079104,3,1.75,1810,1,5,1980,low,Yes,"3,14,000"
7338200240,3,2.5,2320,2,3,1992,premium,No,"4,37,500"
1952200240,3,2.5,2070,1.5,5,1910,premium,Yes,"8,50,830"
5200100125,3,2,1980,1.5,4,1929,medium,Yes,"5,55,000"
7214720075,3,2.25,2190,2,4,1983,low,No,"6,99,950"
2450000295,3,2.5,2920,2,3,1950,medium,Yes,"10,88,000"
6197800045,3,1,1210,1,3,1954,premium,Yes,"2,90,000"
1328310370,3,2.5,2340,1,4,1978,medium,Yes,"3,75,000"
546000875,3,1,1670,1.5,4,1939,premium,Yes,"4,60,000"
3530510041,2,1.75,1240,1,4,1985,medium,No,"1,88,500"
1853000400,4,2.5,3140,2,4,1991,premium,No,"6,80,000"
3134100116,5,1.75,2030,2,4,1942,medium,Yes,"4,70,000"
9545230140,4,2.5,2310,2,3,1984,premium,No,"5,97,750"
3362400511,3,1.75,1260,1,5,1905,medium,Yes,"5,70,000"
2525310310,3,1.75,1540,1,4,1980,low,No,"2,72,500"
6126500060,3,1.75,2080,1,3,1971,premium,No,"3,29,950"
8961960160,4,2.5,3230,2,3,2001,medium,No,"4,80,000"
3626039325,3,3.5,4380,2,3,1900,low,No,"7,40,500"
3362400431,3,3.5,1590,3,3,2010,medium,No,"5,18,500"
4060000240,2,1,880,1,4,1945,low,No,"2,05,425"
3454800060,4,2,1570,1,3,1950,medium,No,"1,71,800"
1695900060,4,1,1610,1.5,4,1925,premium,No,"5,35,000"
7278700070,3,2.5,2400,1,3,1964,premium,No,"6,60,000"
6675500070,3,2,1450,1,3,1987,low,No,"3,91,500"
3626039187,2,1,770,1,3,1953,premium,No,"3,95,000"
3524049083,4,1.75,2100,1.5,5,1924,premium,Yes,"4,45,000"
3275860240,3,2.25,2910,2,3,1990,premium,No,"7,70,000"
4389200955,4,2.75,2750,1.5,3,1914,low,Yes,"14,50,000"
4058801670,3,2.25,2100,1,3,1967,premium,No,"4,45,000"
8732020310,4,2.25,2160,1,3,1978,premium,Yes,"2,60,000"
2331300505,5,3.5,2320,2,5,1926,premium,Yes,"8,22,500"
7853210060,4,2.5,2070,2,3,2004,premium,Yes,"4,30,000"
3668000070,3,1.75,1060,1,4,1986,low,No,"2,12,000"
9545240070,4,2.25,2010,1,3,1986,premium,No,"6,60,500"
1243100136,3,3.5,3950,1.5,3,1989,premium,No,"7,84,000"
8929000270,3,2.5,2010,2,3,2014,medium,No,"4,53,246"
2767602356,4,3.5,2140,3,3,2005,medium,Yes,"6,75,000"
921049315,3,1.75,1320,1,4,1956,premium,No,"1,99,000"
3655000070,4,1.75,2020,1,3,1968,low,No,"2,20,000"
4027700812,4,2.25,2590,1,4,1968,medium,No,"4,52,000"
3992700335,2,1,1190,1,3,1981,premium,No,"3,82,500"
2767603505,3,2.25,1170,3,3,2014,low,No,"5,19,950"
4232901525,2,1,1110,1,3,1925,premium,No,"6,65,000"
1777500060,5,2.5,2820,1,4,1968,medium,No,"5,27,700"
1432900240,3,1,1610,1,4,1962,premium,No,"2,05,000"
6140100875,3,1,1060,1,4,1923,low,Yes,"4,20,000"
6071600370,4,2.25,2030,1,4,1961,low,Yes,"5,00,000"
1526069017,4,2.5,3670,2,4,1994,premium,No,"9,21,500"
809001525,4,1,2550,2,3,1905,medium,No,"8,90,000"
3224079105,2,2.5,2420,2,3,2007,low,No,"4,30,000"
8075400570,5,2,2260,1,4,1960,low,No,"2,58,000"
1994200024,3,1,1430,1,3,1947,medium,Yes,"5,11,000"
3362900810,3,2,1360,2,3,1990,medium,Yes,"5,32,170"
1324300398,3,1,1110,1.5,3,1947,premium,No,"5,60,000"
537000445,3,1,1250,1,4,1954,premium,Yes,"2,82,950"
7855801670,4,3.25,5180,2,3,2006,medium,Yes,"22,50,000"
7920100045,1,1,700,1,3,1942,low,No,"3,50,000"
8960000030,3,1,1180,1,4,1967,medium,No,"2,15,000"
6388930390,5,3.5,3960,2,3,1996,premium,No,"6,50,000"
8731900200,4,2.75,2640,1,3,1967,premium,Yes,"3,20,000"
8029200135,3,2,1270,1.5,3,1916,low,Yes,"2,47,000"
1081200350,4,1.75,1760,1,4,1968,medium,No,"3,20,000"
84000105,5,2.25,2060,1,3,1962,low,No,"2,55,000"
3756500060,3,1.75,1780,1,3,1962,low,Yes,"4,38,000"
7215720160,3,2.5,3400,2,3,2000,premium,Yes,"9,00,000"
3574800520,3,2.75,1910,1,3,1979,medium,No,"4,41,000"
2617300160,3,2,2020,1,4,1975,medium,Yes,"4,20,000"
2558660270,3,1.75,1580,1,3,1976,premium,No,"3,70,000"
2009000370,2,1.75,1340,1,5,1949,medium,No,"2,69,950"
1836980160,4,2.5,2680,2,3,1999,medium,Yes,"8,07,100"
3261020370,3,2.5,2680,1,4,1979,medium,Yes,"6,53,000"
1755700060,3,2,1370,1,5,1964,low,Yes,"3,71,500"
4330600435,3,1.75,1560,1,3,1954,medium,No,"2,84,000"
9542800700,3,1.75,2160,1,4,1978,low,No,"2,72,000"
1999700045,3,1.5,1340,1.5,3,1955,medium,No,"3,13,000"
1762600070,4,2.5,3880,2,3,1984,premium,No,"9,17,500"
1687900520,4,2.25,2590,2,4,1980,medium,No,"6,73,000"
7234600798,3,2.5,1120,2,3,2008,low,No,"4,25,000"
3881900445,5,2.75,1970,1,3,1986,low,Yes,"3,99,950"
2254502445,3,1,1220,1,3,1901,premium,No,"3,85,000"
5437810320,3,1.5,1950,1,4,1975,medium,No,"2,69,950"
9158100075,2,1,1350,1,3,1949,premium,No,"3,30,000"
3830630310,3,2.5,1670,2,3,1988,premium,No,"2,60,000"
8123100045,4,3,2380,1.5,4,1925,low,Yes,"4,70,000"
3127200041,4,3,2440,2,5,1961,medium,No,"5,89,000"
6661200320,2,1.5,1050,2,3,1996,premium,Yes,"1,63,500"
11510310,4,2.75,3130,2,3,1993,medium,Yes,"8,35,000"
825059270,5,3,4090,1,4,1986,medium,No,"10,95,000"
8731951370,4,1.75,1490,1,4,1969,premium,No,"2,69,000"
1954440060,3,2.5,1900,2,3,1987,premium,Yes,"5,60,000"
2264500350,4,1,1330,1.5,4,1901,premium,Yes,"6,15,000"
1115810060,3,2.25,2230,1,3,1975,premium,No,"5,85,188"
9477200200,3,1.75,1650,1,3,1977,low,Yes,"3,05,000"
1432600560,3,1,1190,1,3,1959,low,No,"1,66,950"
2287000060,3,2.5,2140,1,4,1959,medium,No,"7,99,000"
3663500060,3,2.5,2180,1,4,1962,low,Yes,"4,00,000"
3996900125,3,1,1060,1,3,1948,premium,No,"2,30,000"
7796450200,3,2.5,1690,2,3,2003,low,No,"2,56,883"
7549802535,4,2,1970,1.5,5,1920,premium,No,"4,23,000"
3278600320,3,2.5,2150,2,3,2007,low,Yes,"4,65,000"
2824079053,3,2.5,1910,2,3,1997,low,Yes,"4,40,000"
1222069094,3,1.75,1350,1,4,1969,medium,Yes,"3,85,000"
3542300060,3,1,860,1,4,1943,premium,No,"2,10,000"
2222059065,3,2.5,1940,2,3,1994,premium,Yes,"2,97,000"
7551300060,3,1,1010,1,3,1952,low,Yes,"4,70,000"
100600550,3,1.5,1300,1,4,1976,medium,Yes,"2,26,500"
3211100860,3,1,910,1,4,1962,premium,No,"2,74,250"
3456000310,4,1.75,2480,1,4,1966,medium,No,"8,40,000"
9526600140,3,2.5,2440,2,3,2010,premium,Yes,"6,77,900"
7465900060,3,1,1010,1,3,1915,premium,Yes,"4,25,000"
1222000055,2,0.75,900,1,3,1941,medium,Yes,"1,80,250"
6300000550,6,3,2300,2,3,1920,premium,No,"4,64,000"
2310030510,4,2.25,1550,2,3,1993,medium,Yes,"3,20,000"
1025049114,3,2.25,1270,2,3,2014,medium,No,"6,25,504"
8677300550,4,2.5,2240,1,3,1983,premium,No,"5,92,500"
4014400292,3,2.5,2714,2,3,2005,premium,No,"4,65,000"
1102000196,4,2.75,1720,2,3,1978,premium,Yes,"4,77,000"
257000138,2,1,850,1,3,1923,low,Yes,"2,80,000"
46100204,5,3,3300,1,3,1957,low,No,"15,05,000"
1909600046,3,2.5,2250,2,3,2000,medium,No,"4,45,838"
1250202145,2,2.25,3900,1,3,1947,medium,No,"10,72,000"
7611200125,2,1.5,1320,1,4,1947,medium,No,"4,67,000"
5611500140,4,2.5,2760,2,3,1999,premium,Yes,"6,86,000"
7138000260,3,2,1750,1,3,1961,premium,Yes,"2,79,950"
626059335,4,2.25,2330,2,3,1987,medium,No,"5,27,000"
1922059282,3,2.25,2220,1,4,1966,premium,No,"3,25,000"
705700390,3,2.25,2020,2,3,1994,premium,No,"3,28,000"
7454001200,3,2.25,1250,1,5,1942,premium,Yes,"3,90,000"
8682281200,2,2,1510,1,3,2005,medium,No,"4,79,950"
7972000200,4,2.25,1720,1,4,1978,medium,Yes,"2,64,950"
722059070,3,1,1430,1,4,1961,low,No,"2,35,000"
7202340400,3,2.5,1480,2,3,2004,premium,Yes,"5,16,500"
8096000060,2,1.75,1450,2,3,1915,medium,Yes,"6,55,000"
2424000060,4,2.75,2280,1,5,1960,medium,No,"5,00,000"
9264902050,6,2.75,2940,1,3,1978,medium,Yes,"3,15,000"
943100260,2,1,1000,1,3,1961,premium,Yes,"2,13,000"
3677400445,3,1.5,2480,1.5,5,1947,premium,Yes,"4,75,000"
1762600320,5,4,3760,2,3,1983,medium,Yes,"10,25,000"
4058000060,3,2,2220,1,5,1976,low,No,"4,16,000"
7228500560,4,1,1970,1.5,3,1904,low,No,"4,10,000"
326069104,3,3.5,3830,2,3,1993,premium,No,"8,00,000"
5152100060,6,2.5,4410,1,4,1965,medium,No,"4,72,000"
3584000310,3,1.75,1430,1,4,1968,low,No,"2,25,000"
8150100045,2,1,830,1,3,1940,low,Yes,"2,10,000"
1868901275,2,1,1430,1.5,2,1925,low,Yes,"4,55,000"
6131600075,3,1,1300,1,4,1954,premium,Yes,"2,25,000"
9468200125,2,1,1030,1,4,1918,premium,Yes,"4,80,000"
8029510030,3,2.5,2740,2,3,1990,premium,No,"3,63,000"
2025069065,4,2.5,3650,1,3,2000,low,No,"24,00,000"
7899800890,2,1.5,720,1,3,1954,medium,Yes,"1,81,000"
3021059276,4,2,2010,1,4,1976,low,No,"2,50,000"
3797001895,3,1.75,1560,1,4,1918,premium,Yes,"4,81,000"
3832710960,3,2,1810,1,4,1978,low,Yes,"2,60,000"
1310430400,4,2.5,3360,2,3,2001,premium,No,"4,55,000"
1422300030,3,2.25,1510,2,3,1991,low,No,"4,15,000"
1105000588,3,1,1400,1,3,1953,medium,No,"3,49,500"
3830630060,3,2.5,1730,2,3,1987,premium,No,"2,45,000"
5101404898,2,2,1420,1.5,5,1928,low,No,"5,92,500"
7972601890,4,1.75,2360,1,4,1955,premium,No,"3,85,000"
5127001620,3,1.75,1580,1,4,1974,low,No,"3,15,000"
9407100800,3,1,1230,1,3,1979,medium,Yes,"2,55,000"
1873100060,4,2.5,2460,2,3,2006,medium,No,"6,93,000"
8722101360,3,1,1660,1.5,3,1911,medium,Yes,"7,80,000"
8644000060,3,1.75,1270,1,4,1960,low,Yes,"2,37,000"
3325069129,3,2.25,2100,2,3,1979,medium,No,"5,25,000"
1400300055,2,1,770,1,3,1930,premium,Yes,"4,25,000"
2123039032,1,0.75,760,1,5,1936,premium,No,"3,69,900"
8078560140,4,2.5,1700,2,4,1988,low,Yes,"2,90,000"
3438500192,3,1,1120,1,3,1954,medium,Yes,"2,85,000"
7974200510,2,1,1070,1,3,1937,premium,Yes,"4,15,000"
2557000400,3,2.5,2070,1,3,1979,low,No,"2,72,500"
7960900060,4,3.25,5050,1.5,3,1982,low,Yes,"29,00,000"
4054500390,4,4.75,5310,2,4,1989,low,Yes,"13,65,000"
6378500125,2,1,1040,1,4,1939,medium,Yes,"4,36,000"
1745100140,3,1,1700,1,4,1967,medium,No,"2,10,000"
2976800796,3,1,1300,1,3,1961,low,Yes,"2,36,000"
4235400186,3,1.75,1080,1,3,1954,low,No,"3,31,000"
4215100060,3,2.5,2653,2,3,2006,premium,Yes,"3,65,000"
9189700045,3,2,2290,1,5,1960,medium,Yes,"4,50,000"
1126049053,4,2.75,3820,2,3,2014,premium,Yes,"7,70,000"
2022069200,4,2.5,2210,1,3,1997,premium,No,"4,55,000"
9412900055,3,1.75,2390,1,3,1908,premium,Yes,"4,05,000"
1722059235,4,1.75,2600,1,4,1969,low,Yes,"3,04,900"
6874200960,2,1,860,1,3,1931,low,Yes,"1,70,000"
7424700045,5,3,3830,2,5,1905,low,Yes,"20,50,000"
7202360350,4,2.5,3500,2,3,2005,medium,No,"7,80,000"
5634500392,3,3,2420,1,4,1988,low,Yes,"3,30,000"
1509500060,4,2.5,2720,2,3,1992,medium,Yes,"3,70,000"
7214810350,5,2.25,2500,1,3,1979,medium,Yes,"4,67,000"
6647200060,3,1.75,1670,1,3,1980,medium,Yes,"4,05,000"
9552700140,5,2.25,2900,1,3,1985,medium,No,"6,75,000"
2200500350,2,1,1640,1,4,1954,low,Yes,"5,00,000"
6113400046,4,2.5,1890,2,4,1968,premium,Yes,"3,89,999"
6619910140,4,1.75,2950,1,4,1975,premium,No,"6,30,000"
1115450240,4,2.5,2160,2,3,1992,premium,Yes,"3,60,000"
6073240060,4,3,3280,2,3,1986,low,Yes,"5,80,000"
9297300045,3,2,1970,2,5,1929,medium,Yes,"5,50,000"
9510920070,4,2.5,3360,2,3,1994,low,No,"8,79,000"
5468730030,3,2,1320,1,3,1993,low,Yes,"2,65,000"
8079030390,3,2.5,2650,2,3,1990,medium,No,"4,46,500"
600000152,3,1.5,2030,1,3,1963,medium,No,"4,04,000"
1840000030,3,1.75,1590,1,3,1957,premium,No,"2,67,500"
3225069065,4,5,4550,1,3,2002,medium,No,"30,75,000"
3260800030,3,2.5,2440,2,3,1998,premium,No,"3,35,000"
2747100024,3,2.5,1940,1,4,1948,low,No,"5,76,000"
5104530560,3,2.5,2040,2,3,2006,premium,No,"2,08,633"
4330600350,3,2.25,2200,1,4,1964,medium,Yes,"3,15,000"
5016001535,3,1.75,1920,1,4,1913,medium,Yes,"7,25,000"
7280300196,4,2.75,1800,1,4,1965,low,No,"5,50,000"
8651520400,4,2.25,2180,2,3,1984,medium,No,"6,10,750"
7171200445,2,1,1010,1.5,4,1908,medium,No,"5,50,700"
3204800200,4,2.75,3320,2,5,1960,premium,No,"6,65,000"
3416600800,4,2.5,2370,1.5,5,1928,premium,No,"8,34,000"
7994700030,5,1.75,1660,1.5,3,1915,premium,No,"2,01,000"
1860600135,5,2.5,3650,2,5,1921,premium,Yes,"23,84,000"
4139480200,4,3.25,4290,1,3,1997,low,Yes,"13,84,000"
4139480200,4,3.25,4290,1,3,1997,premium,No,"14,00,000"
1328320800,4,2.25,1950,1,3,1979,medium,No,"3,05,000"
7771300125,3,2,2590,1,5,1948,medium,No,"4,87,000"
3422059208,3,2.5,1930,1,4,1988,premium,Yes,"3,90,000"
9521101455,2,1,1470,1,4,1916,medium,No,"5,48,000"
4337000335,4,1,800,1,3,1943,low,Yes,"2,68,750"
325059286,5,2.75,3150,2,3,2013,premium,Yes,"8,19,900"
2597650240,3,2.25,2030,2,3,1984,medium,Yes,"5,20,000"
3353400435,3,2,1450,1,3,2003,medium,No,"2,30,000"
7972000240,3,1.75,1510,1,3,1969,low,No,"2,40,000"
7520000520,2,1,1240,1,3,1922,low,Yes,"2,32,000"
7520000520,2,1,1240,1,3,1922,premium,Yes,"2,40,500"
3530210260,3,2.5,3030,2,3,1987,low,Yes,"2,74,975"
1959700550,4,2,2050,1.5,4,1922,premium,Yes,"7,40,000"
1665400045,3,1,1000,1,2,1952,medium,No,"1,86,375"
9542850320,3,2.25,2370,1,4,1977,medium,Yes,"7,90,000"
3179100060,4,3.5,2800,2,3,1951,medium,No,"8,80,000"
2946001550,6,1.75,2240,2,4,1955,low,Yes,"2,79,000"
8078490390,3,2,1810,1,3,1991,premium,No,"2,95,000"
9550201550,2,1,1070,1,3,1924,premium,Yes,"6,40,000"
191100045,4,2,2490,2,5,1968,medium,No,"9,40,000"
5009600070,4,2.5,1960,2,3,2003,medium,No,"2,60,000"
200350070,3,2.75,2930,1,3,2004,premium,No,"5,59,900"
2877103726,4,2,1510,1.5,5,1911,premium,Yes,"7,91,500"
405100295,3,1.75,1420,1,3,1954,medium,No,"2,65,000"
4268200055,3,1.75,1740,1,3,1954,premium,Yes,"2,45,000"
3126069068,4,1.75,2560,2,4,1962,premium,No,"4,85,000"
1115300070,4,3.5,3040,2,3,2010,low,No,"6,84,000"
6414100671,3,1.75,2500,1,3,1957,medium,Yes,"4,25,000"
7004200060,4,1.75,1275,1,4,1991,medium,No,"3,09,600"
7852110140,4,2.5,2580,2,3,2002,low,No,"5,52,250"
3969300030,4,1,1000,1,3,1943,premium,Yes,"1,65,000"
3969300030,4,1,1000,1,3,1943,premium,No,"2,39,900"
4048400070,2,1,1070,1,4,1930,premium,No,"3,20,000"
808000070,3,2,1390,1,4,1987,low,No,"2,06,600"
7374200030,4,1.75,2500,1,3,1973,premium,No,"3,87,000"
7325600160,1,0.75,560,1,3,1967,low,Yes,"2,99,000"
2757000030,4,2.75,2270,2,3,1965,premium,No,"8,55,000"
616000140,3,1,1900,1,4,1954,low,No,"3,15,000"
3363900111,2,1,990,1,5,1907,premium,No,"4,37,500"
9262800171,4,1.5,1550,1,4,1969,medium,No,"2,52,000"
6607000126,4,1.75,2200,1,5,1955,premium,No,"3,75,000"
5416510830,4,2.5,1910,2,3,2005,medium,No,"3,00,000"
2201500030,4,1,1750,1.5,4,1954,premium,No,"4,20,000"
325059171,3,1,1330,1,3,1928,premium,No,"9,00,000"
952003285,3,2.5,2440,2,3,2000,premium,Yes,"6,79,900"
3211290370,3,2.5,1640,2,3,1992,medium,Yes,"4,63,000"
1072010350,5,2.5,2760,2,4,1978,low,Yes,"3,80,000"
8856950070,4,2.5,1820,2,3,1994,premium,Yes,"3,29,500"
925059078,3,2.5,2110,1,3,2013,low,No,"6,04,950"
7855801090,5,2.5,3040,1,4,1966,medium,No,"7,95,000"
723099065,3,2,1840,2,3,1994,low,Yes,"4,65,000"
6116500075,4,2.5,2990,2,3,2002,medium,Yes,"6,73,000"
1118500030,4,2.5,3520,2,3,1991,premium,Yes,"8,10,000"
424069250,4,2.75,2440,1,4,1989,premium,No,"7,85,000"
3291800710,4,3,2090,1,3,1986,medium,No,"3,38,000"
6838700060,3,2.25,1430,2,3,1993,low,Yes,"2,80,000"
2231500030,4,2.25,2180,1,5,1954,low,Yes,"3,15,000"
2231500030,4,2.25,2180,1,5,1954,premium,Yes,"5,30,000"
7683900200,5,3,3450,2,3,2004,low,Yes,"3,80,000"
8155830060,3,2.25,1450,2,3,1994,medium,Yes,"2,97,000"
98020310,4,2.5,3230,2,3,2004,low,No,"7,30,000"
9423400140,3,1.75,1640,1,3,1940,premium,Yes,"4,50,000"
1545804860,3,3,1590,1,3,1997,low,No,"2,75,000"
2883200160,4,2,2020,2,3,1960,medium,Yes,"5,95,000"
7132300695,3,1.5,1300,1.5,3,1904,low,Yes,"4,35,000"
1726059053,2,1.5,1380,1,1,1954,premium,No,"2,70,000"
624111000,3,3,4040,2,3,1986,medium,Yes,"9,50,000"
808300310,4,2.25,2130,2,3,2001,medium,No,"3,89,000"
8563040160,4,2.25,2550,1,3,1968,premium,No,"5,60,000"
713500030,5,3.5,4800,2,3,1998,low,Yes,"13,50,000"
8651600160,4,2.25,2510,2,4,1969,low,Yes,"7,99,000"
9517200030,3,2,1410,1,4,1983,premium,No,"3,65,500"
2460700700,3,2,1650,1,3,1979,low,No,"2,52,350"
1223039290,4,2.5,2120,2,3,1993,low,Yes,"4,03,950"
2890100060,4,1.5,2040,1,3,1954,low,No,"3,85,000"
7972600860,4,1,1550,1.5,3,1957,medium,Yes,"3,45,000"
8857320070,3,2.75,1980,2,4,1979,medium,No,"4,90,000"
4047200695,3,2.5,1600,2,3,2005,medium,Yes,"3,30,000"
1653500070,4,2.75,3300,2,3,1953,premium,No,"9,27,000"
1923000030,4,2.5,3840,2,4,1983,medium,No,"11,18,000"
3649100320,2,1,1220,1,5,1950,premium,Yes,"3,30,000"
7375300160,5,2.25,2720,1,4,1958,premium,No,"5,30,000"
5175800060,4,2,1940,1,1,1962,low,No,"3,65,000"
1604601375,3,2.5,2160,1.5,3,1909,premium,No,"3,78,750"
2473251090,4,1.75,1530,1.5,4,1968,medium,No,"2,69,900"
9126100861,3,3.5,1710,2,3,2008,low,No,"5,57,000"
3420069065,4,1.75,3730,1,4,1974,medium,No,"3,60,000"
6021501685,2,1,940,1,4,1937,medium,No,"3,52,000"
1151100070,3,2.5,1750,2,3,1994,low,Yes,"4,37,000"
8856950240,4,2.5,1820,2,3,1994,premium,No,"3,22,500"
9385200055,3,3.25,1510,2,3,2001,medium,No,"6,50,000"
7821200390,3,2,1290,3,3,2001,low,Yes,"4,50,000"
8078520310,3,2,1570,1,3,1998,low,No,"2,78,500"
1565950030,4,2.5,1930,2,3,1995,premium,No,"3,64,950"
