InvoiceNo,StockCode,Description,Category,Quantity,UnitPrice,InvoiceDate,CustomerID,Age,Gender,Country,SalesRep,ReturnFlag,Total
INV153064,P0136,Product 136,Beauty,6,$866.97,13-05-2023 23:51,C000678,45,Female,Australia,SR001,0,5201.82
INV130890,P0155,Product 155,BEAUTY,6,148.39,23-07-2023 17:26,C003434,36,Male,Austalia,SR004,0,890.34
INV182942,P0118,Product 118,Toys,1,230.52,29-08-2023 15:45,C000299,53,Male,Austalia,SR019,0,230.52
INV115394,P0194,Product 194,GROCERY,5,659.84,12-11-2023 07:56,C003195,34,Female,Germny,SR007,0,3299.2
INV131747,P0069,Product 69,Fashon,8 units,538.25,04-07-2023 11:50,C004458,64,Male,Uk,SR009,0,4306
INV107563,P0166,Product 166,Fashion,7,793,23-06-2023 07:20,C003673,5,Female,Uk,SR001,Y,5551
INV151900,P0117,Product 117,home decor,7,721.75,28-08-2023 00:10,C000044,29,Female,Inda,SR012,0,5052.25
INV196842,P0061,Product 61,home decor,5,985.72,06-11-2023 20:31,C002304,39,Female,USA,SR011,0,4928.6
INV155741,P0139,Product 139,Fashon,3,821.54,11-01-2023 08:04,C000852,54,Female,Inda,SR008,0,2464.62
INV172265,P0092,Product 92,Home Decor,7 units,234.97,45210,C004953,65,Male,Uk,SR008,0,1644.79
INV123264,P0076,Product 76,Electronics,9 units,887.1,07-05-2023 13:00,C004489,37,Male,India,SR003,0,7983.9
INV114648,P0053,Product 53,GROCERY,6,432.09,20-01-2023 15:16,C000917,30,Male,India,SR010,0,2592.54
INV119816,P0001,Product 1,Toys,4,910.61,15-01-2023 04:20,C001612,67,Male,Frnace,SR006,0,3642.44
INV177412,P0136,Product 136,Beauty,-4,320.32,45217,C004117,21,Female,France,SR006,1,-1281.28
INV114760,P0180,Product 180,Electronics,1,792.72,11-08-2023 12:27,C001501,25,Male,Austalia,SR011,0,792.72
INV161162,P0041,Product 41,Sports,9,591.03,19-09-2023 12:35,C000219,29,Female,Canada,SR019,0,5319.27
INV192523,P0154,Product 154,Fashion,1,624.73,09-05-2023 17:43,C001899 ,22,Male,Austalia,SR014,0,624.73
INV173705,P0039,Product 39,SPORTS,-1,466.62,45259,C001778 ,51,Female,Uk,SR009,1,-466.62
INV124225,P0148,Product 148,Toyz,7,414.77,07-07-2023 15:17,C000465,41,Male,Australia,SR017,0,2903.39
INV183465,P0090,Product 90,Fashon,9,916.07,30-01-2023 03:41,C002536,62,Female,USA,SR003,0,8244.63
INV120371,P0010,Product 10,Home Decor,7,826.27,44994,,41,Male,Frnace,SR015,0,5783.89
INV112908,P0102,Product 102,Toys,9,647.4,03-02-2023 09:13,C004912,31,Male,Canad,SR009,1,5826.6
INV179256,P0072,Product 72,Toyz,9,836.61,45282,C003963,47,MALE,France,SR019,0,7529.49
INV100844,P0090,Product 90,Fashon,1 units,249.59,21-04-2023 18:39,644,23,Male,Austalia,SR016,0,249.59
INV150309,P0160,Product 160,Grocery,6,732.14,19-03-2023 08:14,C003323 ,54,Female,U S A,SR017,0,4392.84
INV136586,P0072,Product 72,Toyz,4,51.3,12-02-2023 02:38,C003287,47,Female,USA,SR013,0,205.2
INV114859,P0135,Product 135,Health,4,34.68,15-11-2023 20:17,C000061,45,MALE,Untied States,SR014,0,138.72
INV152098,P0179,Product 179,Health,6,792.87,10-01-2023 23:12,C002458,31,Female,Canada,SR018,0,4757.22
INV127024,P0024,Product 24,Home Decor,-4,909.18,21-01-2023 21:24,C000064,22,Female,U S A,SR006,1,-3636.72
INV166012,P0142,Product 142,Fashon,7,884.22,45073,598,22,Male,Canad,SR018,0,6189.54
INV119332,P0189,Product 189,GROCERY,5,349.7,03-06-2023 01:58,C002209,25,Male,Uk,SR010,0,1748.5
INV160238,P0013,Product 13,Grocery,7,866.48,25-02-2023 10:51,C003951,,Female,Untied States,SR019,0,6065.36
INV123872,P0133,Product 133,Grocery,7,596.18,13-09-2023 20:09,,25,Male,Austalia,SR013,0,4173.26
INV151872,P0012,Product 12,Fashon,5,553.82,23-10-2023 03:58,C004589,50,Male,Frnace,SR010,0,2769.1
INV157075,P0091,Product 91,Automotive,1,630.86,09-07-2023 16:02,C002101,63,Male,Australia,SR012,0,630.86
INV176452,P0184,Product 184,Electronics,-2,549.96,31-10-2023 01:47,C002516,31,Female,U S A,SR012,1,-1099.92
INV113372,P0035,,Fashon,1,79.71,03-03-2023 13:29,C002051,58,Female,USA,SR016,0,79.71
INV136604,P0143,Product 143 (,Toyz,5,78.71,28-12-2023 17:45,3731,44,Male,Austalia,SR014,0,393.55
INV199332,P0010,Product 10,Home Decor,-2,690.9,09-07-2023 01:44,C003214,26,Male,Canad,SR012,1,-1381.8
INV196360,P0138,Product 138,Books,2,345.88,45003,C003304,58,Female,France,SR015,0,691.76
INV132527,P0063,Product 63,beauty ,2,444.55,45109,C000653,31,Male,U S A,SR013,0,889.1
INV197220,P0062,Product 62,Health,2 units,78.64,18-06-2023 02:17,C002891,68,Female,Canada,SR002,0,157.28
INV185569,P0090,Product 90,Fashon,2,$839.60,30-05-2023 10:38,C001990,64,,Untied States,SR018,,1679.2
INV100050,P0156,Product 156,Electronics,9,210.12,12-03-2023 13:02,C003415,66,Female,Germny,SR010,0,1891.08
INV101052,P0024,Product 24,Home Decor,6,946.29,45180,C004015,45,Female,U S A,SR011,0,5677.74
INV157408,P0037,Product 37,beauty ,4,406.39,25-09-2023 07:46,C000302,26,Female,Inda,SR020,0,1625.56
INV163872,P0100,Product 100,Beauty ,5,731.15,07-07-2023 04:39,C000633,49,Male,India,SR012,0,3655.75
INV195598,P0120,Product 120,Books,5,839.8,06-12-2023 23:00,C001162,69,Male,USA,SR001,0,4199
INV182611,P0021,Product 21,beauty ,5,778.92,03-11-2023 16:17,C003833,51,Female,Australia,SR003,0,3894.6
INV134657,P0011,Product 11,Fashion,5,309.65,08-11-2023 09:04,C002145 ,68,Female,Canada,SR015,0,1548.25
INV196658,P0088,Product 88,BEAUTY,1,179.5,21-05-2023 21:59,C001608,18,Female,Germany,SR003,0,179.5
INV137594,P0187,Product 187,Home Decor,1,908.97,27-08-2023 13:15,C000836,51,Male,USA,SR007,0,908.97
INV136236,P0032,Product 32,Fashion,8,749.93,21-02-2023 17:50,C004179,22,Male,Germany,SR004,0,5999.44
INV108750,P0138,Product 138 (,Books,5,$791.07,22-06-2023 17:30,C004445,27,Male,Austalia,SR020,0,3955.35
INV100964,P0119,Product 119,Fashion,9,187.22,07-01-2023 04:32,C002061,51,Female,UK,SR012,0,1684.98
INV116629,P0100,Product 100,Beauty,3,507.99,20-07-2023 14:36,C001960,,Female,Australia,SR006,0,1523.97
INV181822,P0031,Product 31,Health,1,$317.32,31-03-2023 04:53,2137,40,Male,U S A,SR018,N,317.32
INV16812,P0170,Product 170,GROCERY,9,478.28,24-07-2023 03:00,C001818,30,Female,Uk,SR005,0,4304.52
INV137936,P0048,Product 48,Fashon,5,454.59,29-03-2023 12:17,C000406,61,Fem,U S A,SR020,0,2272.95
INV113179,P0170,Product 170,GROCERY,9,310.7,29-01-2023 23:50,C000949,23,Male,Uk,SR004,0,2796.3
INV107677,P0107,Product 107,home decor,8,336.81 USD,25-01-2023 11:14,C004507,35,,Uk,SR013,0,2694.48
INV157914,P0125,Product 125,electronisc,8,599.87,25-03-2023 14:10,C001479,51,Male,Frnace,SR011,0,4798.96
INV148311,P0025,Product 25,Beauty,6,704.41,45181,C004746,60,Male,Frnace,SR020,0,4226.46
INV184384,P0072,Product 72,Toyz,5,105.9,19-01-2023 02:24,C001999,69,Female,Uk,SR018,0,529.5
INV187693,P0165,Product 165,Beauty,4,$988.33,29-05-2023 04:07,C001356,54,Female,Canada,SR011,0,3953.32
INV112015,P0051,Product 51,Sports,3,743.26,31-05-2023 14:09,3831,57,Female,Canad,SR012,0,2229.78
INV106993,P0129,Product 129,home decor,7,219.68,03-08-2023 06:10,C000713,37,Male,U S A,SR016,0,1537.76
INV194100,P0143,Product 143,Toyz ,9,276.06,30-06-2023 15:08,C002585,25,Female,India,SR016,0,2484.54
INV171510,P0144,Product 144,Fashon,7,581.62,44973,C003276,24,Female,Untied States,SR013,0,4071.34
INV168069,P0187,Product 187,HOME DECOR,3,689.63,10-09-2023 07:33,C000558,20,Female,India,SR012,0,2068.89
INV164694,P0088,Product 88,BEAUTY,2,864.57,12-02-2023 08:51,C000381,59,Male,Uk,SR007,0,1729.14
INV117885,P0018,Product 18,Toyz,3,30.81,05-03-2023 04:35,C002140,64,Female,Inda,SR004,0,92.43
INV160549,P0041,Product 41,Sports,1,641.11,"Apr 26, 2023 08:55 AM",C002332,33,MALE,Uk,SR017,0,641.11
INV101155,P0044,Product 44,Fashion,4 units,483.85,17-05-2023 11:08,C001378,59,Male,France,SR009,0,1935.4
INV108138,P0200,Product 200,Home Decor,8,116.11,12-05-2023 14:06,C002575,50,Male,UK,SR014,0,928.88
INV161330,P0050,Product 50,Books,5,653.37,31-10-2023 17:42,C002214,44,Male,Australia,SR016,0,3266.85
INV198835,P0183,Product 183,Automotive,3,305.75,02-03-2023 14:36,C004580,200,Female,Inda,SR010,0,917.25
INV114215,P0051,Product 51,Sports,8,272.61,13-03-2023 20:26,C001874,56,Female,Germny,SR014,0,2180.88
INV110826,P0098,Product 98,Home Decor,1,940.31,13-01-2023 19:45,C001414,42,Female,U S A,SR008,0,940.31
INV145586,P0087,Product 87,GROCERY,6,647.25,25-12-2023 03:57,C003284,53,Male,Inda,SR016,0,3883.5
INV184048,P0063,Product 63,beauty ,8,146.61,01-08-2023 09:39,C003839,43,Female,Untied States,SR003,0,1172.88
INV125165,P0119,Product 119  [refurbished],Fashion,1,$569.68,45144,C004564,66,Male,USA,SR009,0,569.68
INV166718,P0112,Product 112,TOYS,4,170.88,23-03-2023 21:53,C002317,25,Male,Untied States,SR009,0,683.52
INV195375,P0137,Product 137,Electronics ,8,712.43,25-08-2023 11:31,C001234,43,Female,Germny,SR016,0,5699.44
INV154631,P0094,Product 94,Home Decor,3 units,358.32,45181,,49,Female,UK,SR006,0,1074.96
INV142548,P0074,Product 74,Home Decor,2 units,613.61,"Dec 10, 2023 02:56 AM",C002750,54,Female,India,SR019,0,1227.22
INV121219,P0082,,HEALTH,5,$889.56,11-09-2023 16:00,C003073,42,female,Untied States,SR018,0,4447.8
INV142867,P0196,Product 196,Beauty,2,280.64,31-12-2023 11:23,C004042 ,31,Male,UK,SR003,0,561.28
INV138054,P0122,Product 122 (,Grocery,1,365.21,06-07-2023 17:25,C001230,18,Female,Germny,SR014,0,365.21
INV191289,P0103,Product 103,Health,4,378.71,06-08-2023 16:55,C001587,58,Female,UK,SR001,0,1514.84
INV130532,P0161,Product 161,Sports,3,16.68,24-06-2023 17:27,C004793,53,Female,U S A,SR009,0,50.04
INV150409,P0140,Product 140,BEAUTY ,4,700.32,22-03-2023 19:57,C003698,56,Female,Canad,SR020,0,2801.28
INV121037,P0200,Product 200,Home Decor,8,135.39,19-04-2023 22:29,1911,34,female,Uk,SR002,0,1083.12
INV192106,P0090,Product 90,Fashon,8,15.95,08-10-2023 00:35,4644,44,Male,Austalia,SR002,0,127.6
INV187075,P0011,Product 11,Fashion,8,630.48,18-10-2023 08:06,C001028,41,Female,USA,SR013,N,5043.84
INV110455,P0055,Product 55,Automotive,9,233.82,11-11-2023 13:45,C000041,34,Male,Australia,SR012,0,2104.38
INV175851,P0103,Product 103,Health,-2,476.06,03-04-2023 22:21,C000785,43,Male,Austalia,SR013,1,-952.12
INV167101,P0045,Product 45,Grocery ,3,739.45,45224,C002144,28,Female,Canada,SR010,0,2218.35
INV140783,P0014,Product 14,Fashion,4,445.38,19-05-2023 03:02,C002589,40,Male,Canada,SR001,0,1781.52
INV134590,P0021,Product 21,beauty ,2,541.23,21-11-2023 07:01,,65,Male,Untied States,SR017,0,1082.46
INV140953,P0179,Product 179,Health,7,460.75,29-06-2023 19:08,C002022,35,Female,Canada,SR013,0,3225.25
INV117351,P0141,Product 141,Health,-2,874.37,45259,C004717,42,Male,UK,SR015,1,-1748.74
INV169774,P0189,Product 189,GROCERY,1,144.56,27-06-2023 09:52,C002798,21,Male,USA,SR008,0,144.56
INV136903,P0136,Product 136,Beauty,5,95.92,20-06-2023 18:49,C004580,58,Female,Germny,SR016,0,479.6
INV150666,P0163,Product 163,Fashon,4,375.21,09-05-2023 09:34,C004533,30,Male,Germany,SR003,0,1500.84
INV156206,P0133,Product 133,Grocery,5,68.04,17-03-2023 19:00,C000796,31,Male,France,SR001,0,340.2
INV125709,P0070,Product 70 ###,Automotive,2,916.19,31-03-2023 06:25,C000330 ,39,Male,Untied States,SR002,0,1832.38
INV157904,P0099,Product 99,Electronics,2,958.87,14-05-2023 21:55,C002089,42,Female,France,SR007,0,1917.74
INV156369,P0082,Product 82,Health ,8,822.26,24-09-2023 20:28,C000487,30,Male,France,SR019,0,6578.08
INV174065,P0037,Product 37,beauty ,6,883.23,06-07-2023 22:04,,66,Male,Canad,SR017,0,5299.38
INV146700,P0045,Product 45,Grocery,8,115.86,17-07-2023 20:59,C001014,24,Male,Uk,SR018,Y,926.88
INV186795,P0007,Product 7,electronisc ,4,147.12,15-03-2023 13:44,C001003,27,Female,India,SR007,0,588.48
INV177245,P0050,Product 50,BOOKS,9,$133.46,23-11-2023 14:26,C004865,23,Female,Austalia,SR019,0,1201.14
INV184915,P0042,Product 42,Automotive,5,804.5,27-09-2023 12:40,2274,62,Female,France,SR015,0,4022.5
INV189801,P0061,Product 61,home decor,5 units,$754.90,15-07-2023 15:34,C003611,67,Male,Germany,SR018,0,3774.5
INV181711,P0079,Product 79,Toys,8 units,743.21,09-08-2023 15:45,C000379,30,Male,Uk,SR002,0,5945.68
INV124647,P0157,Product 157,Electronics ,1,976.57,03-09-2023 01:58,C002692,38,Female,U S A,SR014,0,976.57
INV101627,P0165,Product 165,Beauty,8,759.96,22-06-2023 12:42,C001621,24,Female,Untied States,SR002,0,6079.68
INV190624,P0163,Product 163,Toyz,3,$591.82,45284,C001188,43,Male,Austalia,SR001,0,1775.46
INV170615,P0085,Product 85,Fashion,4,604.53,22-05-2023 01:00,C003947,27,Female,Australia,SR016,0,2418.12
INV148872,P0033,Product 33,BEAUTY ,-4,213.71,29-07-2023 09:30,C003217,25,Male,U S A,SR007,1,-854.84
INV185506,P0182,,Toys,5,627.99,25-12-2023 10:17,C001726,35,Male,India,SR015,0,3139.95
INV138623,P0018,Product 18,Toyz,1,119.49,24-09-2023 12:20,C004373,21,,Germany,SR016,0,119.49
INV130362,P0119,Product 119 ***,Fashion,2,110.71,45131,C001944,37,Female,Austalia,SR001,0,221.42
INV103421,P0116,Product 116,Sports,9,881.56,45144,C000568,64,Male,Uk,SR020,0,7934.04
INV147914,P0182,Product 182,Toys,9,849.45,24-10-2023 13:54,C002793,68,Male,Germany,SR002,0,7645.05
INV111009,P0136,,Beauty,9,323.82,02-11-2023 19:26,C000038,25,MALE,Uk,SR008,0,2914.38
INV121996,P0182,Product 182,Toys,6 units,875.08,22-07-2023 17:18,C003383,34,Female,Austalia,SR018,0,5250.48
INV126145,P0180,Product 180,Electronics,7,774.31,29-11-2023 17:09,C004375,52,Female,Uk,SR015,0,5420.17
INV128487,P0011,Product 11,Fashion,9,260.11,45183,C003599,41,Female,UK,SR012,0,2340.99
INV170495,P0046,Product 46,Books,8 units,789.07,12-10-2023 17:45,C004159,58,Female,U S A,SR019,0,6312.56
INV192755,P0059,Product 59,home decor,2,604,45068,C003545,20,Female,Inda,SR018,,1208
INV137191,P0070,Product 70,Automotive,6,835.94,22-06-2023 06:24,C000739,62,Female,Uk,SR005,0,5015.64
INV164928,P0017,Product 17,Fashon,5,369.2,03-08-2023 23:08,C000138,32,Female,U S A,SR018,0,1846
INV179390,P0159,Product 159,FASHON,7,450.63,06-07-2023 01:45,C000684,,Female,France,SR014,0,3154.41
INV10513,P0072,Product 72,Toyz,4,839.45,14-12-2023 04:35,C000016,37,Female,India,SR003,0,3357.8
INV119409,P0045,Product 45,Grocery,4,68.05,26-04-2023 07:25,C002771 ,63,Female,Untied States,SR008,0,272.2
INV168920,P0155,Product 155,Beauty,1,104.79,20-05-2023 12:21,C000084,48,Male,Untied States,SR015,0,104.79
INV188069,P0014,Product 14,FASHION,1,467.27,29-06-2023 22:09,C004506,21,,Germny,SR004,0,467.27
INV162226,P0099,Product 99,Electronics,5,891.62,04-06-2023 13:34,C004670,21,Male,Untied States,SR007,0,4458.1
INV120576,P0005,Product 5,Toys,9,559.75,07-09-2023 03:16,C001312,32,Female,Frnace,SR004,0,5037.75
INV174554,P0139,Product 139,Fashon,7,725.27,44970,C002225,36,Female,UK,SR009,0,5076.89
INV122569,P0035,Product 35,Fashon,1,468.09,09-10-2023 11:43,C001371,50,Female,Untied States,SR010,0,468.09
INV100159,P0080,Product 80,HEALTH,6,438,07-01-2023 00:46,C000707,39,Male,France,SR012,0,2628
INV113750,P0181,Product 181,Automotive,4,930.54,08-05-2023 18:18,C004672,36,Female,Inda,SR013,0,3722.16
INV130891,P0071,Product 71,electronisc,1,35.89,"Jan 14, 2023 08:37 PM",C000224,38,Female,Untied States,SR017,0,35.89
INV133098,P0041,Product 41,Sports ,7,987.65,21-01-2023 10:49,C000418,37,Female,Germny,SR006,0,6913.55
INV109182,P0168,Product 168,electronisc,5,397.12,20-08-2023 07:09,C000048,63,Male,U S A,SR009,0,1985.6
INV155039,P0135,Product 135,HEALTH,6,891.01,22-11-2023 05:34,C001637,21,Male,Inda,SR003,0,5346.06
INV132687,P0052,Product 52 ###,SPORTS,9,335.67,05-06-2023 16:09,3440,57,Female,France,SR010,0,3021.03
INV126996,P0075,Product 75,Home Decor,1,355.01,12-11-2023 03:14,C001628,,Female,Uk,SR001,0,355.01
INV185073,P0108,Product 108,Toys,2 units,348.43,25-01-2023 12:14,C003452,56,Female,UK,SR011,0,696.86
INV164617,P0093,Product 93,Electronics,9,321.71,04-02-2023 13:08,C004776,34,,USA,SR015,0,2895.39
INV100164,P0169,Product 169,GROCERY,5,777.5,21-10-2023 14:14,C004963,43,Female,Canad,SR009,0,3887.5
INV125305,P0065,Product 65,Electronics,9,761,28-01-2023 05:09,C004580,58,Female,France,SR016,0,6849
INV180968,P0158,Product 158,Fashion,9,53.92,29-04-2023 00:55,2108,38,,India,SR011,0,485.28
INV158117,P0051,Product 51,Sports,4,$552.55,21-05-2023 19:29,C003678,41,Male,India,SR005,0,2210.2
INV179737,P0119,Product 119,Fashion,5,546.44,"Jun 13, 2023 06:49 AM",C000058,38,Male,Canada,SR017,0,2732.2
INV140655,P0082,Product 82,Health,4,595.25,22-10-2023 00:29,C001993,40,Female,France,SR019,0,2381
INV123999,P0057,Product 57,Automotive,5,465.35,06-12-2023 13:54,C000643,38,Male,Inda,SR003,0,2326.75
INV106973,P0055,Product 55,Automotive,4,376.55,45243,,40,Male,Canad,SR015,0,1506.2
