Transaction_ID,Date,Customer_ID,Customer_Age,Gender,Location,Product_Category,Product_Name,Unit_Price,Quantity,Discount_Applied,Total_Revenue,Payment_Method,Delivery_Time_Days,Customer_Rating
TXN1134,05-01-2023,CUST_11258,25,Male,India,Apparel,Formal Shirt,114.23,1,0.11,101.66,Credit Card,10,4.7
TXN1135,05-01-2023,CUST_13896,50,Male,USA,Electronics,Smartwatch,141,2,0.01,279.18,PayPal,2,3.3
TXN1136,05-01-2023,CUST_6140,27,Female,Germany,Home & Kitchen,Vacuum Cleaner,127.44,3,0.14,328.8,PayPal,9,3.1
TXN1137,05-01-2023,CUST_6170,31,Female,Pakistan,Home & Kitchen,Blender,219.46,1,0.15,186.54,Credit Card,14,2.3
TXN1138,05-01-2023,CUST_6882,43,Male,Pakistan,Beauty,Perfume,27.88,1,0.14,23.98,Credit Card,12,1.1
TXN1139,05-01-2023,CUST_23034,22,Female,UAE,Apparel,Denim Jeans,31.25,2,0.06,58.75,Credit Card,2,3.4
TXN1140,06-01-2023,CUST_17383,37,Female,India,Sports,Football,60.99,3,0.09,166.5,Credit Card,11,2.5
TXN1141,06-01-2023,CUST_9386,48,Female,India,Sports,Dumbbell Set,117.12,3,0.11,312.71,PayPal,12,1.2
TXN1142,06-01-2023,CUST_22562,18,Female,UK,Electronics,Smartphone 128GB,858.29,1,0.1,772.46,PayPal,12,2.4
TXN1143,06-01-2023,CUST_23112,36,Male,USA,Electronics,Wireless Noise-Canceling Headphones,58.34,3,0.14,150.52,Credit Card,13,2.6
TXN1144,06-01-2023,CUST_9466,37,Non-binary,Pakistan,Electronics,Smartwatch,766.32,2,0.14,1318.07,Credit Card,13,1
TXN1145,06-01-2023,CUST_21381,42,Male,UAE,Apparel,Denim Jeans,93.1,1,0.08,85.65,Credit Card,12,1.1
TXN1146,06-01-2023,CUST_14188,22,Male,USA,Home & Kitchen,Blender,59.39,3,0.12,156.79,Credit Card,4,4.9
TXN1147,06-01-2023,CUST_9018,21,Female,India,Apparel,Denim Jeans,10.67,3,0.03,31.05,Credit Card,6,3.7
TXN1148,06-01-2023,CUST_14922,40,Male,UK,Beauty,Hair Serum,26.54,3,0.08,73.25,Crypto,8,4
TXN1149,06-01-2023,CUST_5611,37,Non-binary,USA,Sports,Dumbbell Set,125.79,3,0.12,332.09,PayPal,1,4.9
TXN1150,06-01-2023,CUST_21070,37,Female,Pakistan,Apparel,Formal Shirt,35.27,2,0.11,62.78,Credit Card,3,3.7
TXN1151,06-01-2023,CUST_19867,38,Male,UK,Sports,Dumbbell Set,187.48,1,0.13,163.11,Crypto,13,2.9
TXN1152,06-01-2023,CUST_17697,28,Non-binary,UAE,Home & Kitchen,Microwave Oven,95.21,3,0.06,268.49,PayPal,2,3.5
TXN1153,06-01-2023,CUST_11638,37,Female,Pakistan,Home & Kitchen,Blender,128.1,3,0.03,372.77,PayPal,6,4.3
TXN1154,06-01-2023,CUST_23776,37,Female,Pakistan,Beauty,Hair Serum,23.9,3,0.14,61.66,Credit Card,1,4.6
TXN1155,06-01-2023,CUST_18687,27,Male,USA,Electronics,Smartwatch,220.87,2,0.09,401.98,PayPal,9,4.5
TXN1156,06-01-2023,CUST_7099,53,Female,Germany,Beauty,Face Wash,79.92,1,0.1,71.93,Bank Transfer,11,1.8
TXN1157,06-01-2023,CUST_7746,39,Male,Germany,Electronics,Smartwatch,1305.09,3,0.04,3758.66,Credit Card,6,4.2
TXN1158,06-01-2023,CUST_5074,23,Male,Pakistan,Electronics,Wireless Noise-Canceling Headphones,1446.03,3,0.06,4077.8,PayPal,2,3.9
TXN1159,06-01-2023,CUST_11852,41,Female,USA,Beauty,Lipstick Set,19.16,2,0.01,37.94,Credit Card,13,1.6
TXN1160,06-01-2023,CUST_11237,25,Non-binary,Pakistan,Electronics,Wireless Noise-Canceling Headphones,1046.42,2,0.09,1904.48,Bank Transfer,11,2.7
TXN1161,06-01-2023,CUST_20416,42,Male,UK,Home & Kitchen,Coffee Maker,73.56,2,0.13,127.99,PayPal,4,4.4
TXN1162,06-01-2023,CUST_22776,46,Male,India,Home & Kitchen,Blender,238.57,1,0.02,233.8,PayPal,9,4.1
TXN1163,06-01-2023,CUST_9323,26,Female,India,Apparel,Cotton T-Shirt,13.3,1,0.06,12.5,Crypto,12,2.6
TXN1164,06-01-2023,CUST_21659,44,Female,Germany,Sports,Cycling Helmet,31.34,1,0.03,30.4,Bank Transfer,5,3.1
TXN1165,06-01-2023,CUST_4404,39,Male,India,Home & Kitchen,Air Fryer,55.06,1,0.06,51.76,PayPal,5,4.7
TXN1166,06-01-2023,CUST_20343,43,Female,Germany,Home & Kitchen,Vacuum Cleaner,182.43,2,0.14,313.78,Credit Card,8,3.6
TXN1167,06-01-2023,CUST_23860,53,Male,UAE,Beauty,Hair Serum,77.66,2,0.04,149.11,Credit Card,12,2.4
TXN1168,06-01-2023,CUST_20702,32,Male,UAE,Beauty,Face Wash,44.63,1,0.04,42.84,PayPal,4,3.5
TXN1169,06-01-2023,CUST_13133,27,Male,Germany,Electronics,Wireless Noise-Canceling Headphones,816.54,1,0.06,767.55,Credit Card,1,3.6
TXN1170,06-01-2023,CUST_8088,26,Male,UK,Electronics,4K Smart TV,558.33,2,0.12,982.66,PayPal,2,4.9
TXN1171,06-01-2023,CUST_19297,26,Male,UK,Apparel,Running Shoes,73.25,1,0.01,72.52,PayPal,4,4.5
TXN1172,06-01-2023,CUST_6609,34,Male,UAE,Apparel,Formal Shirt,107.83,1,0.14,92.73,PayPal,11,1.6
TXN1173,06-01-2023,CUST_4777,38,Male,Germany,Home & Kitchen,Vacuum Cleaner,225.52,1,0.09,205.22,Credit Card,5,3.7
TXN1174,06-01-2023,CUST_9079,37,Female,India,Apparel,Denim Jeans,10.94,2,0.09,19.91,Credit Card,11,2.6
TXN1175,06-01-2023,CUST_13514,43,Female,India,Sports,Football,161.43,3,0.1,435.86,Credit Card,13,2
TXN1176,07-01-2023,CUST_14920,35,Female,Germany,Electronics,Smartwatch,311.47,3,0.07,869,Credit Card,9,3.7
TXN1177,07-01-2023,CUST_6306,49,Male,Pakistan,Apparel,Running Shoes,140.23,3,0.11,374.41,Credit Card,5,3.5
TXN1178,07-01-2023,CUST_22968,32,Male,Pakistan,Electronics,Smartwatch,990.55,3,0.1,2674.48,PayPal,7,3.5
TXN1179,07-01-2023,CUST_23000,62,Non-binary,UAE,Sports,Football,174.23,1,0.05,165.52,PayPal,5,4.9
TXN1180,07-01-2023,CUST_7590,41,Female,UK,Electronics,Gaming Laptop,1429.33,1,0.1,1286.4,PayPal,6,4.4
TXN1181,07-01-2023,CUST_19660,26,Female,UK,Beauty,Lipstick Set,46.96,2,0.1,84.53,Credit Card,9,4.4
TXN1182,07-01-2023,CUST_11559,24,Male,India,Sports,Yoga Mat,160.57,2,0.15,272.97,Credit Card,4,4.9
TXN1183,07-01-2023,CUST_23525,39,Male,India,Home & Kitchen,Blender,77.45,2,0.03,150.25,Credit Card,12,2.7
TXN1184,07-01-2023,CUST_11918,32,Male,India,Electronics,Smartphone 128GB,207.93,3,0.14,536.46,Credit Card,13,1.6
TXN1185,07-01-2023,CUST_6254,42,Female,UAE,Electronics,Smartwatch,306.89,1,0.1,276.2,Bank Transfer,15,2.9
TXN1186,07-01-2023,CUST_17648,39,Female,UAE,Electronics,Smartwatch,1383.28,3,0.06,3900.85,Credit Card,10,3.1
TXN1187,07-01-2023,CUST_22909,34,Female,Germany,Apparel,Winter Jacket,133.01,2,0.01,263.36,PayPal,11,2.5
TXN1188,07-01-2023,CUST_19035,26,Female,UK,Electronics,4K Smart TV,552.37,2,0.1,994.27,Credit Card,9,4.2
TXN1189,07-01-2023,CUST_12597,19,Non-binary,UK,Sports,Tennis Racket,157.74,2,0.05,299.71,Credit Card,1,3.4
TXN1190,07-01-2023,CUST_17639,30,Male,Pakistan,Electronics,Smartwatch,843.16,1,0.09,767.28,Credit Card,5,3.4
TXN1191,07-01-2023,CUST_9593,43,Female,UAE,Sports,Yoga Mat,20.78,2,0.03,40.31,PayPal,5,3.2
TXN1192,07-01-2023,CUST_19128,37,Female,USA,Sports,Football,199.2,1,0.01,197.21,Credit Card,3,4.6
TXN1193,07-01-2023,CUST_22698,22,Male,UK,Electronics,Gaming Laptop,1042.95,1,0.04,1001.23,PayPal,14,2
TXN1194,07-01-2023,CUST_22065,36,Female,UK,Home & Kitchen,Vacuum Cleaner,173.5,1,0.01,171.76,Credit Card,9,4.7
TXN1195,07-01-2023,CUST_21810,38,Female,USA,Sports,Cycling Helmet,95.36,2,0.06,179.28,PayPal,4,3.1
TXN1196,07-01-2023,CUST_18672,26,Male,USA,Electronics,Smartphone 128GB,1287.21,3,0.05,3668.55,Crypto,13,2.1
TXN1197,07-01-2023,CUST_19149,36,Male,USA,Home & Kitchen,Air Fryer,155.01,2,0.08,285.22,Bank Transfer,15,2.1
TXN1198,07-01-2023,CUST_5180,35,Female,UK,Apparel,Winter Jacket,32.98,3,0.12,87.07,PayPal,7,4.3
TXN1199,07-01-2023,CUST_22760,23,Male,India,Home & Kitchen,Microwave Oven,38.52,1,0.07,35.82,Credit Card,6,4.4
